company_name,job_name,job_desc,job_req_and_info
Zalando,Senior Applied Scientist,*What you'll do: You will analyse client behaviour and develop targeted communication strategies.,"Berlin, DE Visa sponsorship in English Python, PyTorch, PySpark, AWS Hybrid"
Zalando,Senior Data Engineer for Lounge by Zalando,*What you'll do: You will support the implementation of a reliable and performant data infrastructure that integrates with internal and 3rd party tools.,"Berlin, DE Visa sponsorship in English MPP, Python, AWS, Airflow Hybrid"
home24,(Senior) Data Scientist - Credit Risk,*What you'll do: You will be working on credit risk and fraud detection problems.,"Berlin, DE Visa sponsorship in English Python, SQL, AWS Hybrid"
Zalando,Senior Applied Scientist - Marketing Services,*What you'll do: You will be working on real-time recommendation for the Sponsored Product and Campaign advertisements.,"Berlin, DE Visa sponsorship in English Python, SQL, AWS Hybrid"
Zalando,Data Engineer - Demand Offer Data Platform - Markets,"*What you'll do: You will design, develop, and operate data pipelines that form the single source of truth for information regarding Zalando's business processes.","Berlin, DE Visa sponsorship in English Databricks, Spark, Airflow, Kubernetes Hybrid"
Zalando,Senior Engineer in Data & Machine Learning,*What you'll do: You will be participating in the full development life cycle in the transactional domain.,"Berlin, DE Visa sponsorship in English SQL, Python, Java, AWS, Kubernetes Hybrid"
Apple,Imaging Scientist - Hardware Test Engineering Group,"*What you'll do: You will work on developing technologies, calibration methodologies and prototype instrumentation for the calibration and validation of Appleâs products.","Munich, DE Visa sponsorship in English Python, C++, Rust Hybrid"
Zalando,Senior Data Engineer - Experimentation Platform,"*What you'll do: You will build and ensure that all workflows adhere to best practices in terms of data governance, data security, and data quality assurance.","Berlin, DE Visa sponsorship in English Python, Spark, SQL, Databricks Hybrid"
Check 24,(Junior) Data Scientist,"*What you'll do: You will research and implement state of the art methods in one of our target disciplines (recommendations, ranking, NLP, computer vision).","Munich, DE Visa sponsorship in English Python, Tensorflow, AWS Hybrid"
Allianz Health Digital,Junior Data Scientist,*What you'll do: You will be working on development and optimization of innovative pricing models that go beyond existing solutions.,"Munich, DE Visa sponsorship in English Python, SQL Hybrid"
TeamViewer,(Senior) Analytics Engineer / Data Engineer,"*What you'll do: You will maintain and improve data applications that help to optimize TeamViewer products, optimize processes in the data warehouse.","GÃ¶ppingen, DE Visa sponsorship in English SQL, BigQuery Hybrid"
AMADEUS,Senior Big Data Engineer,"*What you'll do: You will be a core part of the Amadeus data platform working data volumes up to 100k events/second, which should be processed in near real-time.","Berlin, DE Visa sponsorship in English Scala, Spark, Kafka Hybrid"
epilot,Senior Data Engineer,"*What you'll do: You will build pipelines to extract data from our event-driven application into AWS Data Lake, and build data-driven features for epilot users.","Cologne, DE Visa sponsorship in English Python, SQL, Airflow Hybrid"
Zalando,Senior Applied Scientist,*What you'll do: You will be working on tailoring content for each individual customer.,"Berlin, DE Visa sponsorship in English Python, SQL, PyTorch Hybrid"
Zalando,Senior Applied Scientist,*What you'll do: You will be working on implementing prediction models within our research-driven software framework to cater for the increasing scale and load.,"Dortmund, DE Visa sponsorship in English Python, PySpark, PyTorch Hybrid"
Zalando,Applied Scientist (Marketing Intelligence),*What you'll do: You will ensure the optimal allocation of budget across commercial actions.,"Berlin, DE Visa sponsorship in English Python, SQL, PyMC Hybrid"
adjoe,Senior Data Scientist,"*What you'll do: You will work on ML models to predict user behaviour, and/or optimise in-app retention and campaign distribution.","Hamburg, DE Visa sponsorship in English Python, R / SQL, AWS Hybrid"
